time,cx,cy,px,py,theta,v,omega
1774377064.864251,1724,974,1569,446,-0.2855386738410202,8913.578478166542,-1.476317504543813
1774377064.93149,1728,968,1672,498,-0.11858985925770553,59.48924370880183,2.4829146794105936
1774377064.96414,1728,968,1573,442,-0.2865660037795504,0.0,-5.144752708205923
1774377064.9977999,1728,968,1480,668,-0.6907909282777187,0.0,-12.00908214847971
1774377065.0325649,1728,968,1479,669,-0.6944092205981814,0.0,-0.10407857869825553
1774377065.0645492,1728,968,1475,668,-0.7006109656155085,0.0,-0.19389948665062748
1774377065.0980532,1728,968,1583,447,-0.271441752802222,0.0,12.809488251139426
1774377065.1312482,1728,968,1671,492,-0.1191803964898625,0.0,4.586873632308803
1774377065.198656,1728,968,1479,671,-0.6977115082679478,0.0,-8.58254850494739
1774377065.2335129,1728,968,1481,670,-0.6920919046040565,0.0,0.1612197409430519
1774377065.2653608,1728,968,1480,670,-0.6940777743112481,0.0,-0.06235470322168444
1774377065.298752,1755,935,1482,666,-0.7927781032161212,808.595374608184,-2.955875163880995
1774377065.331732,1748,944,1488,660,-0.7413091059993765,-212.25007229194378,1.5606140542925593
1774377065.365078,1748,944,1488,659,-0.7395587375163315,0.0,0.05249120589369279
1774377065.398525,1748,944,1490,658,-0.7339729553794726,0.0,0.16700384468807386
1774377065.492776,1748,944,1482,662,-0.7562093754046537,0.0,-0.23592788940849305
1774377065.5320709,1748,944,1670,484,-0.1679675564880744,0.0,14.969905737032942
1774377065.5654988,1748,944,1579,419,-0.3114298199413077,0.0,-4.2916854754110005
1774377065.601567,1748,944,1506,718,-0.8195728870136434,0.0,-14.08839509782303
1774377065.636328,1384,973,1682,501,0.563156822717809,-10471.519883674673,39.77824628901267
1774377065.669665,1485,1078,1684,504,0.3337229131002547,3029.656172671749,-6.882236242505302
1774377065.706356,1263,1078,1502,638,0.4975934560236298,-6050.538283092798,4.466238709140012
1774377065.736492,1515,1077,1510,631,-0.011210292706593968,8362.12792822728,-16.88365887795135
1774377065.7764852,1383,967,1701,468,0.5673773055727571,-3300.553987027852,14.467118214740768
1774377065.809657,1383,967,1700,518,0.6147503874382494,0.0,1.4281091240809995
1774377065.8453188,1383,967,1512,621,0.35686892929854025,0.0,-7.231328765318063
1774377065.875005,1467,1010,1712,465,0.4224723923857155,2829.5963955570905,2.2098966986611153
1774377065.9106472,1467,1010,1714,510,0.45883609841647544,0.0,1.0202445426548261
1774377065.942233,1467,1010,1715,510,0.46044249177087393,0.0,0.05085787450220803
1774377065.9762611,1524,1077,1612,370,0.12383271047168844,1675.0884784619266,-9.892125726172885
1774377066.01068,1524,1077,1541,608,0.03623147250430815,0.0,-2.545155079982648
1774377066.0446248,1419,1076,1535,602,0.2400085251253937,-3093.253169446883,6.003181084578259
1774377066.073098,1403,953,1537,599,0.3618628063648706,-561.9331295792339,4.279622350595462
1774377066.111817,1772,938,1537,603,-0.6117269650558744,9530.219865885874,-25.14505306454545
1774377066.144439,1411,993,1542,600,0.3217505543966422,-11066.118119961704,28.61488225094293
1774377066.178418,1411,993,1540,599,0.316411169592063,0.0,-0.15713806707493572
1774377066.2110028,1411,993,1727,452,0.5286488968925838,0.0,6.5133755410254075
1774377066.24668,1886,982,1561,670,-0.8058034940839864,13313.827092842203,-37.40351241493035
1774377066.271395,1886,982,1531,594,-0.7410127980057568,0.0,2.621518740943671
1774377066.312635,1886,982,1529,594,-0.7438114159106605,0.0,-0.06786177191243153
1774377066.343285,1410,992,1529,593,0.28984648991161976,-15530.109088646193,33.724411844036936
1774377066.378174,1410,992,1640,383,0.36110795475950247,0.0,2.042520566216789
1774377066.411798,1410,992,1608,367,0.30679749627084874,0.0,-1.6152321386437847
1774377066.447843,1856,918,1712,470,-0.31099828060554097,12373.39654989946,-17.13953393306004
1774377066.471936,1463,986,1712,452,0.43631956216098483,-16311.850929710152,31.018160937201372
1774377066.5076091,1916,964,1709,455,-0.3862514980867605,12698.629310805753,-23.058554030645883
1774377066.54174,1410,1038,1711,453,0.47520385864558007,-14825.313988334323,25.2398145266591
1774377066.574949,1410,1038,1621,384,0.31208679633019476,0.0,-4.911820365841307
1774377066.609087,1410,1038,1715,449,0.4778071481332416,0.0,4.854429824694812
1774377066.6446831,1265,1023,1709,487,0.6917949440046104,-4073.476266066537,6.011546260068356
1774377066.672974,1265,1023,1715,444,0.6606843601111514,0.0,-1.0996641395797326
1774377066.715623,1265,1023,1716,445,0.6625983775501817,0.0,0.04487858476869977
1774377066.741293,1914,584,1722,443,-0.9373704438257521,25282.380057212915,-62.32822776843969
